Invoice_Date,Merchant,Store_Number,Cost,Credit,Invoice_Number
10/25/2017,Walmart Supercenter,776,8.6,,582001
10/28/2017,Walmart Supercenter,776,5.6,,582003
10/28/2017,Walmart Supercenter,1943,5.8,,582002
10/29/2017,Walmart Supercenter,776,3.9,,582004
10/29/2017,Walmart Supercenter,776,1.3,,582007
10/29/2017,Walmart Supercenter,776,235.2,,582005
10/29/2017,Walmart Supercenter,776,150.45,,582006
10/30/2017,Walmart Supercenter,776,13.4,,582011
11/18/2017,Walmart Supercenter,2847,1.5,,582015
11/19/2017,Walmart Supercenter,2847,7370.0,,582021
12/02/2017,Walmart Supercenter,1965,3.0,,582025
12/09/2017,Walmart Supercenter,776,1.3,,582026
12/19/2017,Walmart Supercenter,776,2.1,,582027
12/19/2017,Walmart Supercenter,1943,1.9,,582028
12/20/2017,Walmart Supercenter,1943,13.1,,582030
12/20/2017,Walmart Supercenter,1965,13.95,,582029
01/27/2018,Baker's,301,3.0,,582034
01/27/2018,Baker's,300,,-7.5,582033
Total,,,7834.1,-7.5
